pair_id,pair_index,dataset_a,dataset_b,weight_a,weight_b,seed_formula
P001,0,bdg1_building_data_genome,bdg2_building_data_genome,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P002,1,bdg1_building_data_genome,low_carbon_london,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P003,2,bdg1_building_data_genome,camsl_japan_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P004,3,bdg1_building_data_genome,irish_domestic_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P005,4,bdg1_building_data_genome,goiener_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P006,5,bdg1_building_data_genome,smart_grid_smart_city,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P007,6,bdg1_building_data_genome,danish_smart_heat_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P008,7,bdg1_building_data_genome,heapo_heat_pumps,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P009,8,bdg1_building_data_genome,european_lv_rural_2731,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P010,9,bdg1_building_data_genome,european_lv_urban_35297,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P011,10,bdg1_building_data_genome,european_lv_urban_8087,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P012,11,bdg1_building_data_genome,norway_ami_energy_distribution,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P013,12,bdg1_building_data_genome,complete_energy_community,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P014,13,bdg1_building_data_genome,opsd_household_data,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P015,14,bdg2_building_data_genome,low_carbon_london,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P016,15,bdg2_building_data_genome,camsl_japan_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P017,16,bdg2_building_data_genome,irish_domestic_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P018,17,bdg2_building_data_genome,goiener_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P019,18,bdg2_building_data_genome,smart_grid_smart_city,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P020,19,bdg2_building_data_genome,danish_smart_heat_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P021,20,bdg2_building_data_genome,heapo_heat_pumps,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P022,21,bdg2_building_data_genome,european_lv_rural_2731,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P023,22,bdg2_building_data_genome,european_lv_urban_35297,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P024,23,bdg2_building_data_genome,european_lv_urban_8087,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P025,24,bdg2_building_data_genome,norway_ami_energy_distribution,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P026,25,bdg2_building_data_genome,complete_energy_community,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P027,26,bdg2_building_data_genome,opsd_household_data,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P028,27,low_carbon_london,camsl_japan_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P029,28,low_carbon_london,irish_domestic_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P030,29,low_carbon_london,goiener_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P031,30,low_carbon_london,smart_grid_smart_city,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P032,31,low_carbon_london,danish_smart_heat_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P033,32,low_carbon_london,heapo_heat_pumps,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P034,33,low_carbon_london,european_lv_rural_2731,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P035,34,low_carbon_london,european_lv_urban_35297,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P036,35,low_carbon_london,european_lv_urban_8087,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P037,36,low_carbon_london,norway_ami_energy_distribution,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P038,37,low_carbon_london,complete_energy_community,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P039,38,low_carbon_london,opsd_household_data,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P040,39,camsl_japan_smart_meters,irish_domestic_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P041,40,camsl_japan_smart_meters,goiener_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P042,41,camsl_japan_smart_meters,smart_grid_smart_city,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P043,42,camsl_japan_smart_meters,danish_smart_heat_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P044,43,camsl_japan_smart_meters,heapo_heat_pumps,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P045,44,camsl_japan_smart_meters,european_lv_rural_2731,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P046,45,camsl_japan_smart_meters,european_lv_urban_35297,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P047,46,camsl_japan_smart_meters,european_lv_urban_8087,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P048,47,camsl_japan_smart_meters,norway_ami_energy_distribution,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P049,48,camsl_japan_smart_meters,complete_energy_community,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P050,49,camsl_japan_smart_meters,opsd_household_data,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P051,50,irish_domestic_smart_meters,goiener_smart_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P052,51,irish_domestic_smart_meters,smart_grid_smart_city,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P053,52,irish_domestic_smart_meters,danish_smart_heat_meters,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P054,53,irish_domestic_smart_meters,heapo_heat_pumps,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P055,54,irish_domestic_smart_meters,european_lv_rural_2731,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P056,55,irish_domestic_smart_meters,european_lv_urban_35297,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P057,56,irish_domestic_smart_meters,european_lv_urban_8087,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P058,57,irish_domestic_smart_meters,norway_ami_energy_distribution,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P059,58,irish_domestic_smart_meters,complete_energy_community,0.5,0.5,20260808 + pair_index * 100000 + seed_index
P060,59,irish_domestic_smart_meters,opsd_household_data,0.5,0.5,20260808 + pair_index * 100000 + seed_index
