scenario_id,sampling_mode,partition,seed_index,seed,composition_regime
S1-A,unique,train,,5600000,fixed
S1-A,unique,validation,,5602000,fixed
S1-A,unique,test,0,6657375,nominal
S1-A,unique,test,1,6657376,nominal
S1-A,unique,test,2,6657377,nominal
S1-A,unique,test,3,6657378,nominal
S1-A,unique,test,4,6657379,nominal
S1-A,unique,test,5,6657380,nominal
S1-A,unique,test,6,6657381,nominal
S1-A,unique,test,7,6657382,nominal
S1-A,unique,test,8,6657383,nominal
S1-A,unique,test,9,6657384,nominal
S1-A,unique,test,10,6657385,dominant_plus_15pp
S1-A,unique,test,11,6657386,dominant_plus_15pp
S1-A,unique,test,12,6657387,dominant_plus_15pp
S1-A,unique,test,13,6657388,dominant_plus_15pp
S1-A,unique,test,14,6657389,dominant_plus_15pp
S1-A,unique,test,15,6657390,dominant_plus_15pp
S1-A,unique,test,16,6657391,dominant_plus_15pp
S1-A,unique,test,17,6657392,dominant_plus_15pp
S1-A,unique,test,18,6657393,dominant_plus_15pp
S1-A,unique,test,19,6657394,dominant_plus_15pp
S1-A,unique,test,20,6657395,dominant_minus_15pp
S1-A,unique,test,21,6657396,dominant_minus_15pp
S1-A,unique,test,22,6657397,dominant_minus_15pp
S1-A,unique,test,23,6657398,dominant_minus_15pp
S1-A,unique,test,24,6657399,dominant_minus_15pp
S1-A,unique,test,25,6657400,dominant_minus_15pp
S1-A,unique,test,26,6657401,dominant_minus_15pp
S1-A,unique,test,27,6657402,dominant_minus_15pp
S1-A,unique,test,28,6657403,dominant_minus_15pp
S1-A,unique,test,29,6657404,dominant_minus_15pp
S1-A,non_unique,train,,3600000,fixed
S1-A,non_unique,validation,,3602000,fixed
S1-A,non_unique,test,0,4657375,nominal
S1-A,non_unique,test,1,4657376,nominal
S1-A,non_unique,test,2,4657377,nominal
S1-A,non_unique,test,3,4657378,nominal
S1-A,non_unique,test,4,4657379,nominal
S1-A,non_unique,test,5,4657380,nominal
S1-A,non_unique,test,6,4657381,nominal
S1-A,non_unique,test,7,4657382,nominal
S1-A,non_unique,test,8,4657383,nominal
S1-A,non_unique,test,9,4657384,nominal
S1-A,non_unique,test,10,4657385,dominant_plus_15pp
S1-A,non_unique,test,11,4657386,dominant_plus_15pp
S1-A,non_unique,test,12,4657387,dominant_plus_15pp
S1-A,non_unique,test,13,4657388,dominant_plus_15pp
S1-A,non_unique,test,14,4657389,dominant_plus_15pp
S1-A,non_unique,test,15,4657390,dominant_plus_15pp
S1-A,non_unique,test,16,4657391,dominant_plus_15pp
S1-A,non_unique,test,17,4657392,dominant_plus_15pp
S1-A,non_unique,test,18,4657393,dominant_plus_15pp
S1-A,non_unique,test,19,4657394,dominant_plus_15pp
S1-A,non_unique,test,20,4657395,dominant_minus_15pp
S1-A,non_unique,test,21,4657396,dominant_minus_15pp
S1-A,non_unique,test,22,4657397,dominant_minus_15pp
S1-A,non_unique,test,23,4657398,dominant_minus_15pp
S1-A,non_unique,test,24,4657399,dominant_minus_15pp
S1-A,non_unique,test,25,4657400,dominant_minus_15pp
S1-A,non_unique,test,26,4657401,dominant_minus_15pp
S1-A,non_unique,test,27,4657402,dominant_minus_15pp
S1-A,non_unique,test,28,4657403,dominant_minus_15pp
S1-A,non_unique,test,29,4657404,dominant_minus_15pp
S1-B,unique,train,,5610000,fixed
S1-B,unique,validation,,5612000,fixed
S1-B,unique,test,0,6692405,nominal
S1-B,unique,test,1,6692406,nominal
S1-B,unique,test,2,6692407,nominal
S1-B,unique,test,3,6692408,nominal
S1-B,unique,test,4,6692409,nominal
S1-B,unique,test,5,6692410,nominal
S1-B,unique,test,6,6692411,nominal
S1-B,unique,test,7,6692412,nominal
S1-B,unique,test,8,6692413,nominal
S1-B,unique,test,9,6692414,nominal
S1-B,unique,test,10,6692415,dominant_plus_15pp
S1-B,unique,test,11,6692416,dominant_plus_15pp
S1-B,unique,test,12,6692417,dominant_plus_15pp
S1-B,unique,test,13,6692418,dominant_plus_15pp
S1-B,unique,test,14,6692419,dominant_plus_15pp
S1-B,unique,test,15,6692420,dominant_plus_15pp
S1-B,unique,test,16,6692421,dominant_plus_15pp
S1-B,unique,test,17,6692422,dominant_plus_15pp
S1-B,unique,test,18,6692423,dominant_plus_15pp
S1-B,unique,test,19,6692424,dominant_plus_15pp
S1-B,unique,test,20,6692425,dominant_minus_15pp
S1-B,unique,test,21,6692426,dominant_minus_15pp
S1-B,unique,test,22,6692427,dominant_minus_15pp
S1-B,unique,test,23,6692428,dominant_minus_15pp
S1-B,unique,test,24,6692429,dominant_minus_15pp
S1-B,unique,test,25,6692430,dominant_minus_15pp
S1-B,unique,test,26,6692431,dominant_minus_15pp
S1-B,unique,test,27,6692432,dominant_minus_15pp
S1-B,unique,test,28,6692433,dominant_minus_15pp
S1-B,unique,test,29,6692434,dominant_minus_15pp
S1-B,non_unique,train,,3610000,fixed
S1-B,non_unique,validation,,3612000,fixed
S1-B,non_unique,test,0,4692405,nominal
S1-B,non_unique,test,1,4692406,nominal
S1-B,non_unique,test,2,4692407,nominal
S1-B,non_unique,test,3,4692408,nominal
S1-B,non_unique,test,4,4692409,nominal
S1-B,non_unique,test,5,4692410,nominal
S1-B,non_unique,test,6,4692411,nominal
S1-B,non_unique,test,7,4692412,nominal
S1-B,non_unique,test,8,4692413,nominal
S1-B,non_unique,test,9,4692414,nominal
